Description,Location,Price (PHP),Bedrooms,Bath,Floor_area (sqm),Land_area (sqm),Latitude,Longitude,Link
"2-Bedroom Unit for Sale in Amisa Private Residences - Tower D, Lapu-Lapu City, Cebu","Mactan, Lapu-Lapu","15,916,180",2,2,74,na,10.3051555,124.0112408,https://www.lamudi.com.ph/2-bedroom-unit-for-sale-in-amisa-private-residences-tower-d-lapu-lapu-city-cebu.html
"1-Bedroom Unit for Sale in Amisa Private Residences - Tower D, Lapu-Lapu City, Cebu","Mactan, Lapu-Lapu","8,730,355",1,1,41,na,10.3051555,124.0112408,https://www.lamudi.com.ph/1-bedroom-unit-for-sale-in-amisa-private-residences-tower-d-lapu-lapu-city-cebu.html
"Offices at The Galleon - Prime Unit (11G) for Sale in Ortigas, Pasig","San Antonio, Pasig","27,448,000",na,na,82,na,14.588716,121.060009,https://www.lamudi.com.ph/offices-at-the-galleon-prime-unit-11g-for-sale-in-ortigas-pasig.html
"1-Bedroom Unit (821) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig","16,011,000",1,na,58,na,14.588882,121.079016,https://www.lamudi.com.ph/1-bedroom-unit-821-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"Alice 2 Storey Townhouse For Sale in Lancaster New City in General Trias, Cavite","Tapia, General Trias","1,935,600",3,na,40,40,14.35507,120.876425,https://www.lamudi.com.ph/alice-2-storey-townhouse-for-sale-in-lancaster-new-city-in-general-trias-cavite.html
"Studio Condo Unit (6B) for Sale in One Sierra, EDSA, Mandaluyong City, Metro Manila","Highway Hills, Mandaluyong","7,587,013",1,1,32,na,14.578255,121.052143,https://www.lamudi.com.ph/studio-condo-unit-6b-for-sale-in-one-sierra-edsa-mandaluyong-city-metro-manila.html
"Studio Deluxe (43E) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig","13,246,000",1,1,46,na,14.575822,121.064324,https://www.lamudi.com.ph/studio-deluxe-43e-for-sale-in-empress-at-capitol-commons-pasig-city.html
"1-Bedroom Unit (1918) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig","15,492,000",1,na,56,na,14.588882,121.079016,https://www.lamudi.com.ph/1-bedroom-unit-1918-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"1-Bedroom Unit (21J) - Residences at The Galleon (Pre-selling) in Ortigas CBD, Pasig","San Antonio, Pasig","26,930,000",1,1,70,na,14.588377,121.059897,https://www.lamudi.com.ph/1-bedroom-unit-21j-residences-at-the-galleon-pre-selling-in-ortigas-cbd-pasig.html
"Studio Condo Unit (6F) for Sale in One Sierra, EDSA, Mandaluyong City, Metro Manila","Highway Hills, Mandaluyong","8,360,751",1,1,33,na,14.578255,121.052143,https://www.lamudi.com.ph/studio-condo-unit-6f-for-sale-in-one-sierra-edsa-mandaluyong-city-metro-manila.html
"1-Bedroom Unit (11K) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig","22,042,000",1,1,67,na,14.575822,121.064324,https://www.lamudi.com.ph/1-bedroom-unit-11k-for-sale-in-empress-at-capitol-commons-pasig-city.html
"3-Bedroom House for Sale at Camella Quezon in Brgy. Isabang, Tayabas City, Quezon | C...","Isabang, Tayabas","5,110,000",3,na,66,88,13.962775,121.564527,https://www.lamudi.com.ph/3-bedroom-house-for-sale-at-camella-quezon-in-brgy-isabang-tayabas-city-quezon-cara-rfo.html
"5-Bedroom House for Sale at Camella Balanga Heights in Balanga City, Bataan | Greta","Cupang Proper, Balanga","8,982,000",5,na,166,142,14.666375,120.54822,https://www.lamudi.com.ph/5-bedroom-house-for-sale-at-camella-balanga-heights-in-balanga-city-bataan-greta.html
"4-Bedroom Condo Unit for Sale at Camella Manors - Northpoint in Bajada, Davao City","Barangay 19-B, Davao","16,487,500",4,2,92,na,7.0928915,125.6056916,https://www.lamudi.com.ph/4-bedroom-condo-unit-for-sale-at-camella-manors-northpoint-in-bajada-davao-city.html
"2-Bedroom Townhouse for Sale at Hana South in Trece Martires, Cavite | Erica Model","Cabuco, Trece Martires","2,089,739",2,na,40,45,14.2737173,120.8443843,https://www.lamudi.com.ph/2-bedroom-townhouse-for-sale-at-hana-south-in-trece-martires-cavite-erica-model.html
"Studio Unit (52N) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig","12,415,000",1,1,41,na,14.575822,121.064324,https://www.lamudi.com.ph/studio-unit-52n-for-sale-in-empress-at-capitol-commons-pasig-city.html
"1-Bedroom Unit (3806) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig","16,618,000",1,na,57,na,14.588882,121.079016,https://www.lamudi.com.ph/1-bedroom-unit-3806-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"1-Bedroom Unit (4116) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig","18,160,000",1,na,57,na,14.588882,121.079016,https://www.lamudi.com.ph/1-bedroom-unit-4116-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"1-Bedroom Unit (812) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig","15,669,000",1,na,58,na,14.588882,121.079016,https://www.lamudi.com.ph/1-bedroom-unit-812-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"2-Bedroom House for Sale at Camella Quezon in Brgy. Isabang, Tayabas City, Quezon | C...","Isabang, Tayabas","2,636,000",2,na,40,54,13.962775,121.564527,https://www.lamudi.com.ph/2-bedroom-house-for-sale-at-camella-quezon-in-brgy-isabang-tayabas-city-quezon-criselle-solo-nrfo.html
"1-Bedroom Unit (1121) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig","15,229,000",1,na,56,na,14.588882,121.079016,https://www.lamudi.com.ph/1-bedroom-unit-1121-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"1-Bedroom Unit (2018) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig","15,492,000",1,na,53,na,14.588882,121.079016,https://www.lamudi.com.ph/1-bedroom-unit-2018-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"1-Bedroom Unit (816) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig","15,297,000",1,na,56,na,14.588882,121.079016,https://www.lamudi.com.ph/1-bedroom-unit-816-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"1-Bedroom Unit (3022) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig","16,602,000",1,1,58,na,14.588882,121.079016,https://www.lamudi.com.ph/1-bedroom-unit-3022-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"For Sale: Studio Condo Unit at Camella Manors - Northpoint in Bajada, Davao City","Barangay 19-B, Davao","4,009,821",1,1,22,na,7.0928915,125.6056916,https://www.lamudi.com.ph/for-sale-studio-condo-unit-at-camella-manors-northpoint-in-bajada-davao-city.html
"5-Bedroom House for Sale at Camella Quezon in Brgy. Isabang, Tayabas City, Quezon | E...","Isabang, Tayabas","8,385,000",5,na,100,194,13.962775,121.564527,https://www.lamudi.com.ph/5-bedroom-house-for-sale-at-camella-quezon-in-brgy-isabang-tayabas-city-quezon-ella-nrfo.html
"2-Bedroom Unit (38O) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig","35,121,000",2,2,106,na,14.575822,121.064324,https://www.lamudi.com.ph/2-bedroom-unit-38o-for-sale-in-empress-at-capitol-commons-pasig-city.html
"2-Bedroom House for Sale at Camella Quezon in Brgy. Isabang, Tayabas City, Quezon | C...","Isabang, Tayabas","4,160,000",2,na,40,108,13.962775,121.564527,https://www.lamudi.com.ph/2-bedroom-house-for-sale-at-camella-quezon-in-brgy-isabang-tayabas-city-quezon-criselle-combo-nrfo.html
"2-Bedroom House for Sale at Camella Quezon in Brgy. Isabang, Tayabas City, Quezon | A...","Isabang, Tayabas","2,582,000",2,na,36,59,13.962775,121.564527,https://www.lamudi.com.ph/2-bedroom-house-for-sale-at-camella-quezon-in-brgy-isabang-tayabas-city-quezon-arielle-eu-nrfo.html
"Studio (4017) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig","8,872,000",1,na,35,na,14.588882,121.079016,https://www.lamudi.com.ph/studio-4017-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"2-Bedroom House for Sale at Camella Provence in Malolos City, Bulacan | Ezabelle, NRF...","Longos, Malolos","3,365,000",2,na,46,63,14.8743986,120.7973062,https://www.lamudi.com.ph/2-bedroom-house-for-sale-at-camella-provence-in-malolos-city-bulacan-ezabelle-nrfo-rfo.html
"1-Bedroom Unit (12F) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig","21,625,000",1,1,67,na,14.575822,121.064324,https://www.lamudi.com.ph/1-bedroom-unit-12f-for-sale-in-empress-at-capitol-commons-pasig-city.html
"1-Bedroom Unit (34D) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig","21,129,000",1,1,66,na,14.575822,121.064324,https://www.lamudi.com.ph/1-bedroom-unit-34d-for-sale-in-empress-at-capitol-commons-pasig-city.html
"1-Bedroom Unit (3011) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig","15,972,000",1,na,58,na,14.588882,121.079016,https://www.lamudi.com.ph/1-bedroom-unit-3011-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"1-Bedroom Unit (4014) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig","16,274,000",1,na,57,na,14.588882,121.079016,https://www.lamudi.com.ph/1-bedroom-unit-4014-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"1-Bedroom Unit (4106) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig","18,392,000",1,na,57,na,14.588882,121.079016,https://www.lamudi.com.ph/1-bedroom-unit-4106-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"1-Bedroom Unit (2707) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig","15,898,000",1,na,56,na,14.588882,121.079016,https://www.lamudi.com.ph/1-bedroom-unit-2707-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"1-Bedroom Unit (2318) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig","15,627,000",1,1,53,na,14.588882,121.079016,https://www.lamudi.com.ph/1-bedroom-unit-2318-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"1-Bedroom Unit (1405) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig","15,635,000",1,na,56,na,14.588882,121.079016,https://www.lamudi.com.ph/1-bedroom-unit-1405-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"3-Bedroom 2-Storey House for Sale at Camella Taal in Buli, Taal, Batangas | Cara, NRF...","Buli, Taal","5,210,000",3,na,66,88,13.885835,120.955093,https://www.lamudi.com.ph/3-bedroom-2-storey-house-for-sale-at-camella-taal-in-buli-taal-batangas-cara-nrfo.html
"5-Bedroom 2-Storey House for Sale at Camella Taal in Buli, Taal, Batangas | Elaisa WB...","Buli, Taal","7,735,000",5,na,97,130,13.885835,120.955093,https://www.lamudi.com.ph/5-bedroom-2-storey-house-for-sale-at-camella-taal-in-buli-taal-batangas-elaisa-wb-rfo.html
"2-Bedroom 2-Storey House for Sale at Camella Taal in Buli, Taal, Batangas | Ezabelle,...","Buli, Taal","3,012,000",2,na,46,66,13.885835,120.955093,https://www.lamudi.com.ph/2-bedroom-2-storey-house-for-sale-at-camella-taal-in-buli-taal-batangas-ezabelle-nrfo.html
"5-Bedroom House for Sale at Camella Balanga Heights in Balanga City, Bataan | Freya","Cupang Proper, Balanga","7,751,000",5,na,142,121,14.666375,120.54822,https://www.lamudi.com.ph/5-bedroom-house-for-sale-at-camella-balanga-heights-in-balanga-city-bataan-freya.html
"3-Bedroom House for Sale at Camella Balanga Heights in Balanga City, Bataan | Cara","Cupang Proper, Balanga","5,057,000",3,na,66,94,14.666375,120.54822,https://www.lamudi.com.ph/3-bedroom-house-for-sale-at-camella-balanga-heights-in-balanga-city-bataan-cara.html
"1-Bedroom Unit (32D) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig","20,793,000",1,1,65,na,14.575822,121.064324,https://www.lamudi.com.ph/1-bedroom-unit-32d-for-sale-in-empress-at-capitol-commons-pasig-city.html
"Studio Unit (17L) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig","11,539,000",1,1,39,na,14.575822,121.064324,https://www.lamudi.com.ph/studio-unit-17l-for-sale-in-empress-at-capitol-commons-pasig-city.html
"Studio Unit (47H) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig","10,744,000",1,1,34,na,14.575822,121.064324,https://www.lamudi.com.ph/studio-unit-47h-for-sale-in-empress-at-capitol-commons-pasig-city.html
"Studio Unit (53C) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig","11,159,000",1,1,38,na,14.575822,121.064324,https://www.lamudi.com.ph/studio-unit-53c-for-sale-in-empress-at-capitol-commons-pasig-city.html
"1-Bedroom Unit (3514) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig","16,145,000",1,na,57,na,14.588882,121.079016,https://www.lamudi.com.ph/1-bedroom-unit-3514-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"Studio Unit (33N) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig","11,629,000",1,1,40,na,14.575822,121.064324,https://www.lamudi.com.ph/studio-unit-33n-for-sale-in-empress-at-capitol-commons-pasig-city.html
"1-Bedroom Unit (1414) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig","15,492,000",1,na,58,na,14.588882,121.079016,https://www.lamudi.com.ph/1-bedroom-unit-1414-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"1-Bedroom Unit (2203) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig","15,898,000",1,1,56,na,14.588882,121.079016,https://www.lamudi.com.ph/1-bedroom-unit-2203-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"1-Bedroom Unit (1208) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig","15,635,000",1,na,56,na,14.588882,121.079016,https://www.lamudi.com.ph/1-bedroom-unit-1208-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"Studio Unit (7L) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig","11,376,000",1,1,39,na,14.575822,121.064324,https://www.lamudi.com.ph/studio-unit-7l-for-sale-in-empress-at-capitol-commons-pasig-city.html
"Studio Unit (48L) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig","12,517,000",1,1,40,na,14.575822,121.064324,https://www.lamudi.com.ph/studio-unit-48l-for-sale-in-empress-at-capitol-commons-pasig-city.html
"2-Bedroom Unit (12O) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig","32,121,000",2,2,104,na,14.575822,121.064324,https://www.lamudi.com.ph/2-bedroom-unit-12o-for-sale-in-empress-at-capitol-commons-pasig-city.html
"Studio Unit (32L) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig","11,809,000",1,1,39,na,14.575822,121.064324,https://www.lamudi.com.ph/studio-unit-32l-for-sale-in-empress-at-capitol-commons-pasig-city.html
"Studio Unit (50J) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig","10,786,000",1,1,34,na,14.575822,121.064324,https://www.lamudi.com.ph/studio-unit-50j-for-sale-in-empress-at-capitol-commons-pasig-city.html
"1-Bedroom Unit (3803) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig","16,755,000",1,na,57,na,14.588882,121.079016,https://www.lamudi.com.ph/1-bedroom-unit-3803-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"Studio Deluxe (28E) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig","12,615,000",1,1,45,na,14.575822,121.064324,https://www.lamudi.com.ph/studio-deluxe-28e-for-sale-in-empress-at-capitol-commons-pasig-city.html
"5-Bedroom 2-Storey House for Sale at Camella Taal in Buli, Taal, Batangas | Freya, NR...","Buli, Taal","8,967,000",5,na,142,156,13.885835,120.955093,https://www.lamudi.com.ph/5-bedroom-2-storey-house-for-sale-at-camella-taal-in-buli-taal-batangas-freya-nrfo.html
"4-Bedroom 2-Storey House for Sale at Camella Taal in Buli, Taal, Batangas | Dana, NRF...","Buli, Taal","6,380,000",4,na,85,99,13.885835,120.955093,https://www.lamudi.com.ph/4-bedroom-2-storey-house-for-sale-at-camella-taal-in-buli-taal-batangas-dana-nrfo.html
"2-Bedroom 2-Storey House for Sale at Camella Taal in Buli, Taal, Batangas | Criselle,...","Buli, Taal","2,883,000",2,na,40,66,13.885835,120.955093,https://www.lamudi.com.ph/2-bedroom-2-storey-house-for-sale-at-camella-taal-in-buli-taal-batangas-criselle-nrfo.html
"1-Bedroom Condo Unit for Sale at Camella Manors - Northpoint in Bajada, Davao City","Barangay 19-B, Davao","9,696,429",1,1,54,na,7.0928915,125.6056916,https://www.lamudi.com.ph/1-bedroom-condo-unit-for-sale-at-camella-manors-northpoint-in-bajada-davao-city.html
"5-Bedroom House for Sale at Camella Balanga Heights in Balanga City, Bataan | Ella","Cupang Proper, Balanga","6,592,000",5,na,100,121,14.666375,120.54822,https://www.lamudi.com.ph/5-bedroom-house-for-sale-at-camella-balanga-heights-in-balanga-city-bataan-ella.html
"4-Bedroom House for Sale at Camella Balanga Heights in Balanga City, Bataan | Dani","Cupang Proper, Balanga","5,870,000",4,na,83,110,14.666375,120.54822,https://www.lamudi.com.ph/4-bedroom-house-for-sale-at-camella-balanga-heights-in-balanga-city-bataan-dani.html
"2-Bedroom House for Sale at Camella Balanga Heights in Balanga City, Bataan | Arielle...","Cupang Proper, Balanga","2,153,000",2,na,36,42,14.666375,120.54822,https://www.lamudi.com.ph/2-bedroom-house-for-sale-at-camella-balanga-heights-in-balanga-city-bataan-arielle-iu.html
"1BR Executive Condo Unit for Sale in Lucima, Cebu Business Park, Cebu City | Pre-sell...","Hippodromo, Cebu","9,282,900",1,1,56,na,10.31589,123.905916578,https://www.lamudi.com.ph/1br-executive-condo-unit-for-sale-in-lucima-cebu-business-park-cebu-city-pre-selling.html
"Studio Unit for Sale in Amisa Private Residences - Tower D, Lapu-Lapu City, Cebu","Mactan, Lapu-Lapu","8,820,825",1,1,41,na,10.3051555,124.0112408,https://www.lamudi.com.ph/studio-unit-for-sale-in-amisa-private-residences-tower-d-lapu-lapu-city-cebu.html
"1-Bedroom Unit (48D) - Residences at The Galleon (Pre-selling) in Ortigas CBD, Pasig","San Antonio, Pasig","27,611,000",1,1,70,na,14.588377,121.059897,https://www.lamudi.com.ph/1-bedroom-unit-48d-residences-at-the-galleon-pre-selling-in-ortigas-cbd-pasig.html
"Studio Unit (40L) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig","12,245,000",1,1,40,na,14.575822,121.064324,https://www.lamudi.com.ph/studio-unit-40l-for-sale-in-empress-at-capitol-commons-pasig-city.html
"1-Bedroom Unit (16F) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig","21,737,000",1,1,67,na,14.575822,121.064324,https://www.lamudi.com.ph/1-bedroom-unit-16f-for-sale-in-empress-at-capitol-commons-pasig-city.html
"1-Bedroom Unit (24D) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig","20,577,000",1,1,65,na,14.575822,121.064324,https://www.lamudi.com.ph/1-bedroom-unit-24d-for-sale-in-empress-at-capitol-commons-pasig-city.html
"1-Bedroom Unit (1718) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig","15,364,000",1,na,56,na,14.588882,121.079016,https://www.lamudi.com.ph/1-bedroom-unit-1718-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"1-Bedroom Unit (46D) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig","21,459,000",1,1,66,na,14.575822,121.064324,https://www.lamudi.com.ph/1-bedroom-unit-46d-for-sale-in-empress-at-capitol-commons-pasig-city.html
"Studio Deluxe (25E) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig","12,433,000",1,1,45,na,14.575822,121.064324,https://www.lamudi.com.ph/studio-deluxe-25e-for-sale-in-empress-at-capitol-commons-pasig-city.html
"1-Bedroom Unit (40M) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig","21,361,000",1,1,65,na,14.575822,121.064324,https://www.lamudi.com.ph/1-bedroom-unit-40m-for-sale-in-empress-at-capitol-commons-pasig-city.html
"1-Bedroom Unit (3814) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig","16,411,000",1,na,57,na,14.588882,121.079016,https://www.lamudi.com.ph/1-bedroom-unit-3814-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"1-Bedroom Unit (47A) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig","23,578,000",1,1,67,na,14.575822,121.064324,https://www.lamudi.com.ph/1-bedroom-unit-47a-for-sale-in-empress-at-capitol-commons-pasig-city.html
"1-Bedroom Unit (2703) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig","16,033,000",1,na,56,na,14.588882,121.079016,https://www.lamudi.com.ph/1-bedroom-unit-2703-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"1-Bedroom Unit (59E) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig","26,888,000",1,1,76,na,14.575822,121.064324,https://www.lamudi.com.ph/1-bedroom-unit-59e-for-sale-in-empress-at-capitol-commons-pasig-city.html
"1-Bedroom Unit (3115) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig","16,007,000",1,na,57,na,14.588882,121.079016,https://www.lamudi.com.ph/1-bedroom-unit-3115-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"1-Bedroom Unit (3216) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig","16,076,000",1,na,57,na,14.588882,121.079016,https://www.lamudi.com.ph/1-bedroom-unit-3216-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"1-Bedroom Unit (41D) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig","21,322,000",1,1,66,na,14.575822,121.064324,https://www.lamudi.com.ph/1-bedroom-unit-41d-for-sale-in-empress-at-capitol-commons-pasig-city.html
"3-Bedroom House for Sale at Camella Quezon in Brgy. Isabang, Tayabas City, Quezon | C...","Isabang, Tayabas","5,898,000",3,na,66,131,13.962775,121.564527,https://www.lamudi.com.ph/3-bedroom-house-for-sale-at-camella-quezon-in-brgy-isabang-tayabas-city-quezon-cara-nrfo.html
"2-Bedroom 2-Storey House for Sale at Camella Taal in Buli, Taal, Batangas | Bella, NR...","Buli, Taal","4,592,000",2,na,53,88,13.885835,120.955093,https://www.lamudi.com.ph/2-bedroom-2-storey-house-for-sale-at-camella-taal-in-buli-taal-batangas-bella-nrfo.html
"2-Bedroom 2-Storey House for Sale at Camella Taal in Buli, Taal, Batangas | Arielle I...","Buli, Taal","2,134,000",2,na,36,44,13.885835,120.955093,https://www.lamudi.com.ph/2-bedroom-2-storey-house-for-sale-at-camella-taal-in-buli-taal-batangas-arielle-iu-nrfo.html
"2-Bedroom Condo Unit for Sale at Camella Manors - Northpoint in Bajada, Davao City","Barangay 19-B, Davao","8,122,321",2,1,45,na,7.0928915,125.6056916,https://www.lamudi.com.ph/2-bedroom-condo-unit-for-sale-at-camella-manors-northpoint-in-bajada-davao-city.html
"2-Bedroom Unit (17O) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig","32,507,000",2,2,104,na,14.575822,121.064324,https://www.lamudi.com.ph/2-bedroom-unit-17o-for-sale-in-empress-at-capitol-commons-pasig-city.html
"1-Bedroom Unit (3403) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig","16,420,000",1,1,57,na,14.588882,121.079016,https://www.lamudi.com.ph/1-bedroom-unit-3403-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"1-Bedroom Unit (3420) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig","16,672,000",1,na,58,na,14.588882,121.079016,https://www.lamudi.com.ph/1-bedroom-unit-3420-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"1-Bedroom Unit (3710) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig","16,172,000",1,na,58,na,14.588882,121.079016,https://www.lamudi.com.ph/1-bedroom-unit-3710-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"1-Bedroom Unit (1715) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig","15,737,000",1,na,58,na,14.588882,121.079016,https://www.lamudi.com.ph/1-bedroom-unit-1715-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"1-Bedroom Unit (1721) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig","15,364,000",1,na,56,na,14.588882,121.079016,https://www.lamudi.com.ph/1-bedroom-unit-1721-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"1-Bedroom Unit (39F) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig","22,153,000",1,1,66,na,14.575822,121.064324,https://www.lamudi.com.ph/1-bedroom-unit-39f-for-sale-in-empress-at-capitol-commons-pasig-city.html
"Studio Deluxe (42E) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig","13,227,000",1,1,46,na,14.575822,121.064324,https://www.lamudi.com.ph/studio-deluxe-42e-for-sale-in-empress-at-capitol-commons-pasig-city.html
"2-Bedroom Unit (43B) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig","34,033,000",2,2,106,na,14.575822,121.064324,https://www.lamudi.com.ph/2-bedroom-unit-43b-for-sale-in-empress-at-capitol-commons-pasig-city.html
"1-Bedroom Unit (49M) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig","23,554,000",1,1,70,na,14.575822,121.064324,https://www.lamudi.com.ph/1-bedroom-unit-49m-for-sale-in-empress-at-capitol-commons-pasig-city.html
"1-Bedroom Unit (38K) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig","22,973,000",1,1,66,na,14.575822,121.064324,https://www.lamudi.com.ph/1-bedroom-unit-38k-for-sale-in-empress-at-capitol-commons-pasig-city.html
"1-Bedroom Unit (33M) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig","22,061,000",1,1,68,na,14.575822,121.064324,https://www.lamudi.com.ph/1-bedroom-unit-33m-for-sale-in-empress-at-capitol-commons-pasig-city.html
"1-Bedroom Unit (26F) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig","22,089,000",1,1,67,na,14.575822,121.064324,https://www.lamudi.com.ph/1-bedroom-unit-26f-for-sale-in-empress-at-capitol-commons-pasig-city.html
"1-Bedroom Unit (55B) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig","22,047,000",1,1,65,na,14.575822,121.064324,https://www.lamudi.com.ph/1-bedroom-unit-55b-for-sale-in-empress-at-capitol-commons-pasig-city.html
"1-Bedroom Unit (42A) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig","22,768,000",1,1,65,na,14.575822,121.064324,https://www.lamudi.com.ph/1-bedroom-unit-42a-for-sale-in-empress-at-capitol-commons-pasig-city.html
